continent,country,female literacy,fertility,population
ASI,Chine,90.5,1.769,1324655000
ASI,Inde,50.8,2.682,1139964932
NAM,USA,99,2.077,304060000
ASI,Indonésie,88.8,2.132,227345082
LAT,Brésil,90.2,1.827,
ASI,Pakistan,40,3.872,166111487
ASI,Bangladesh,49.8,2.288,160000128
AF,Nigéria,48.8,5.173,151212254
EUR,Fédération de Russie,99.4,1.393,141950000
ASI,Japan,99,1.262,127704000
LAT,Mexique,91.5,2.156,106350434
ASI,Philippines,93.9,3.026,90348437
ASI,Viet Nam,90.2,2.033,86210781
EUR,Germany,99,1.324,82110097
AF,Egypte,57.8,2.816,81527172
AF,Ethiopie,22.8,5.211,80713434
ASI,Turquie,81.3,2.1,73914260
ASI,"Iran, République islamique d'",77.2,1.781,71956322
ASI,Thaïlande,91.5,1.822,67386383
AF,Rép. Démocratique du Congo,56.1,5.908,64256635
EUR,France,99,1.881,62277432
EUR,UK,99,1.852,61414062
EUR,Italie,98.5,1.39,59832179
ASI,Myanmar,89.2,2.281,49563019
AF,Afrique du Sud,88.1,2.505,48687000
ASI,South Korea,96.6,1.224,48607000
EUR,Ukraine,99.6,1.361,46258200
EUR,Espagne,96.9,1.468,45555716
LAT,Colombie,93.4,2.404,45012096
AF,République-Unie de Tanzanie,66.3,5.52,42483923
AF,Soudan,59.6,4.058,41347723
LAT,Argentine,97.7,2.223,39882980
AF,Kenya,82.8,4.859,38765312
EUR,Pologne,99.3,1.267,38125759
AF,Algérie,63.9,2.342,34373426
NAM,Canada,99,1.579,33311400
AF,Ouganda,66.8,6.254,31656865
AF,Maroc,44.1,2.334,31605616
ASI,Iraq,69.2,3.961,30711152
ASI,Afghanistan,12.6,6.505,29021099
LAT,Pérou,84.6,2.53,28836700
ASI,Népal,45.4,2.823,28809526
LAT,Venezuela,94.9,2.498,27935000
ASI,Ouzbékistan,98.9,2.248,27313700
ASI,Malaisie,89.8,2.508,27014337
ASI,Arabie saoudite,80.2,3.04,24645686
ASI,Rép. populaire démocratique de Corée,100,1.854,23818753
AF,Ghana,59.3,4.22,23350927
ASI,Yémen,42.8,5.1,22917485
AF,Mozambique,40.1,4.967,22382533
EUR,Roumanie,96.9,1.325,21513622
AF,Côte d'Ivoire,44.3,4.514,20591302
ASI,République arabe syrienne,77.2,3.173,20581290
ASI,Sri Lanka,89.1,2.308,20156204
AF,Madagascar,65.3,4.62,19110941
AF,Cameroun,67.8,4.541,19088385
AF,Angola,57,5.637,18020668
LAT,Chili,98.7,1.926,16803952
EUR,Netherlands,99,1.747,16445593
ASI,Kazakhstan,99.5,2.294,15674833
AF,Burkina Faso,21.6,5.841,15233884
AF,Malawi,65.8,5.455,14846182
AF,Niger,15.1,7.069,14704318
ASI,Cambodge,70.9,2.859,14562008
LAT,Guatemala,68.7,4.018,13686128
LAT,Equateur,81.7,2.513,13481424
AF,Mali,18.2,5.405,12705736
AF,Zambie,61,5.737,12620219
AF,Zimbabwe,88.8,3.363,12462879
AF,Sénégal,33,4.89,12211181
EUR,Grèce,95.9,1.385,11237094
LAT,Cuba,99.8,1.505,11204735
AF,Tchad,21.9,6.081,10913667
EUR,Belgium,99,1.784,10708433
EUR,Portugal,92.9,1.378,10622413
EUR,Czech rep,99,1.45,10424336
AF,Tunisie,71,1.841,10327800
EUR,Hongrie,98.9,1.37,10038188
LAT,République dominicaine,88.3,2.612,9952711
AF,Guinée,26.4,5.329,9833055
AF,Rwanda,66.1,5.33,9720694
LAT,Bolivie,86,3.371,9694113
EUR,Bélarus,99.7,1.281,9680850
EUR,Sweden,99,1.871,9219637
ASI,Azerbaïdjan,99.2,2.153,8680100
AF,Bénin,28.1,5.378,8662086
AF,Burundi,59.9,4.45,8074254
EUR,Switzerland,99,1.46,7647675
EUR,Bulgarie,97.9,1.436,7623395
EUR,Serbie,96.2,1.612,7350221
LAT,Honduras,83.5,3.19,7318789
ASI,Israel,95.9,2.752,7308800
ASI,Tadjikistan,99.5,3.35,6836083
OCE,Papouasie-Nouvelle-Guinée,55.6,4.01,6576822
AF,Togo,53.7,4.166,6458605
AF,Jamahiriya arabe libyenne,81.3,2.642,6294181
LAT,Paraguay,93.5,2.977,6237855
ASI,Rép. démocratique populaire lao,63.2,3.415,6205341
LAT,El Salvador,81.4,2.295,6133910
ASI,Jordanie,88.9,3.019,5906043
LAT,Nicaragua,77.9,2.683,5667325
AF,Sierra Leone,28.9,5.165,5559853
EUR,Denmark,99,1.849,5493621
EUR,Finland,100,1.836,5313399
ASI,Kirghizistan,99.1,2.518,5277900
ASI,Turkménistan,99.3,2.43,5043618
AF,Erythrée,54.5,4.528,4926877
ASI,Singapour,91.6,1.263,4839400
EUR,Norway,100,1.885,4768212
LAT,Costa Rica,96.2,1.943,4519126
ASI,Emirats arabes unis,91.5,1.899,4484935
EUR,Croatie,98,1.442,4434000
EUR,Ireland,99,1.953,4425675
AF,République centrafricaine,41.1,4.697,4339263
ASI,Géorgie,99.7,1.582,4307011
OCE,New Zealand,99,2.025,4268900
ASI,Liban,86,1.841,4193758
AF,Libéria,53,5.011,3793400
EUR,Bosnie-Herzégovine,95.9,1.212,3773100
EUR,République de Moldova,97.8,1.502,3633369
LAT,Panama,92.8,2.516,3398823
EUR,Lituanie,99.7,1.367,3358115
LAT,Uruguay,98.5,2.089,3334052
AF,Mauritanie,49.5,4.388,3215043
EUR,Albanie,98.7,1.854,3143291
ASI,Arménie,99.4,1.748,3077087
ASI,Oman,80.9,2.978,2785361
ASI,Koweït,93.1,2.152,2728041
LAT,Jamaïque,90.8,2.362,2687200
ASI,Mongolie,97.8,1.988,2641216
EUR,Lettonie,99.8,1.426,2266094
AF,Namibie,87.7,3.29,2129854
AF,Lesotho,95.1,3.264,2049429
EUR,L'ex-Rép. yougoslave de Macédoine,95.4,1.436,2041342
EUR,Slovénie,99.7,1.393,2021316
AF,Botswana,83.5,2.822,1921122
AF,Gambie,34.3,4.969,1660200
AF,Guinée-Bissau,36.5,5.659,1575446
AF,Gabon,83.2,3.24,1448159
EUR,Estonie,99.8,1.693,1340675
LAT,Trinité-et-Tobago,98.2,1.647,1333388
ASI,Qatar,90.4,2.36,1280862
AF,Maurice,84.8,1.792,1268854
AF,Swaziland,85.6,3.45,1167834
EUR,Chypre,96.7,1.516,862434
ASI,Bahreïn,89.4,2.233,775585
ASI,Bhoutan,38.7,2.563,686789
AF,Guinée équatoriale,89.1,5.283,659197
AF,Comores,67.8,3.885,643571
ASI,"Macao, Chine",90.7,0.966,526178
LAT,Suriname,88.4,2.373,515124
AF,Cap-Vert,79.3,2.663,498672
EUR,Malte,93.5,1.251,411950
ASI,Brunéi Darussalam,93.3,2.052,392280
LAT,Bahamas,96.5,3.371,337668
EUR,Iceland,99,2.093,317414
ASI,Maldives,98.4,2,305027
OCE,Vanuatu,79.5,3.883,233866
OCE,Samoa,98.5,3.852,178869
AF,Sao Tomé-et-Principe,83.3,3.718,160174
LAT,Aruba,98,1.732,105455
ASI,Tonga,99.1,3.928,103566
OCE,Australia,96,1.93,2313000000
OCE,Sweden,90.2,1.827,
